,Name,Representation,Representative_Docs,Better_Names
55,54_immigration_immigrants_undocumented_border,"['immigration', 'immigrants', 'undocumented', 'border', 'citizenship', 'mexico', 'trump', 'illegal', 'president', 'mexican']","['President Biden’s allies on Capitol Hill formally introduced his immigration overhaul in the House on Thursday morning, making good on his campaign promise to seek to modernize the nation’s immigration system and provide a path to citizenship for millions of undocumented Americans.', 'President Biden’s allies on Capitol Hill formally introduced his immigration overhaul in the House on Thursday morning, making good on his campaign promise to seek to modernize the nation’s immigration system and provide a path to citizenship for millions of undocumented Americans.', 'Immigration activists are pressuring Democratic leaders to reject stepped-up immigration enforcement in exchange for protection for young immigrants.']",U.S. Immigration Reform and Undocumented Residents
56,55_cars_hybrid_car_vehicles,"['cars', 'hybrid', 'car', 'vehicles', 'electric', 'tesla', 'vehicle', 'models', 'concept', 'bmw']","['The market for used hybrid vehicles is expanding.', 'Automakers are flooding the Detroit auto show with new hybrid and plug-in models, but the combination of gas prices below $4 a gallon and higher upfront costs for the cars is not attracting consumers.', 'Automakers are flooding the Detroit auto show with new hybrid and plug-in models, but the combination of gas prices below $4 a gallon and higher upfront costs for the cars is not attracting consumers.']",Hybrid and Electric Vehicles Market Trends
57,56_formula_prix_race_vettel,"['formula', 'prix', 'race', 'vettel', 'sebastian', 'grand', 'racing', 'nascar', 'sprint', 'driver']","['Sebastian Vettel cruised to victory at the Australian Grand Prix, the first race of the new season, where a raft of new regulations did not change the show all that much.', 'Sebastian Vettel widens his Formula One championship points lead to 90 points, and Brad Keselowski wins his first Nascar Sprint Cup race since last season, when he was the series champion.', 'Sebastian Vettel widens his Formula One championship points lead to 90 points, and Brad Keselowski wins his first Nascar Sprint Cup race since last season, when he was the series champion.']",Sebastian Vettel's Formula One and NASCAR Racing Highlights
58,57_housing_city_towers_construction,"['housing', 'city', 'towers', 'construction', 'affordable', 'buildings', 'york', 'neighborhood', 'building', 'new']","['About $2 billion in development is underway in the city, with 1,500 units of housing under construction and another 4,000 planned.', 'A deal in the works could help create affordable housing in New York City and also help save the Hudson River Park.', 'A deal in the works could help create affordable housing in New York City and also help save the Hudson River Park.']",Urban Development and Affordable Housing in New York City
59,58_israel_palestinian_gaza_palestinians,"['israel', 'palestinian', 'gaza', 'palestinians', 'israeli', 'israels', 'jerusalem', 'jewish', 'hamas', 'israelis']","['Israel has banned the Northern Branch of the Islamic Movement in Israel, a move that denies crucial social services to Arabs living in northern Israel.', 'The clash escalated into the worst fighting between Israel and Gaza since the 2014 war, killing four Israeli civilians and at least 22 Palestinians.', 'The clash escalated into the worst fighting between Israel and Gaza since the 2014 war, killing four Israeli civilians and at least 22 Palestinians.']",Israeli-Palestinian Conflict
60,59_spacecraft_earth_moon_space,"['spacecraft', 'earth', 'moon', 'space', 'planet', 'nasa', 'mars', 'rover', 'rocket', 'planets']","['Scientists have confirmed that the crater where a NASA rover landed last year contained a freshwater lake about 3.5 billion years ago, around the time that life is thought to have begun on Earth.', 'The spacecraft is to orbit the largest planet in the solar system, perhaps providing insight into the origin of Earth.', 'Scientists have confirmed that the crater where a NASA rover landed last year contained a freshwater lake about 3.5 billion years ago, around the time that life is thought to have begun on Earth.']",Space Exploration and Planetary Science
61,60_resigned_step_down_leave,"['resigned', 'step', 'down', 'leave', 'resignation', 'retire', 'resign', 'said', 'executive', 'chief']","['Ed Sniffen’s resignation came less than six months after his predecessor, Kevin G. Clarkson, resigned amid revelations that he had sent hundreds of text messages to a female state employee.', 'The deputy commissioner for public health at the New York State Health Department resigned in late summer. Soon after, the director of its bureau of communicable disease control also stepped down. So did the medical director for epidemiology. Last month, the state epidemiologist said she, too, would be leaving.', 'The deputy commissioner for public health at the New York State Health Department resigned in late summer. Soon after, the director of its bureau of communicable disease control also stepped down. So did the medical director for epidemiology. Last month, the state epidemiologist said she, too, would be leaving.']",High-Profile Resignations and Departures
62,61_storm_hurricane_storms_flooding,"['storm', 'hurricane', 'storms', 'flooding', 'winds', 'tornado', 'landfall', 'hurricanes', 'rains', 'sandy']","['There hasn’t been a named storm in the Atlantic Ocean since early October, but about a month remains in the hurricane season. “Don’t raid your hurricane supplies yet,” said one meteorologist.', 'Zeta is expected to become a hurricane before it makes landfall in the United States on Wednesday. It is the 27th named storm of an unusually active Atlantic hurricane season.', 'Zeta is expected to become a hurricane before it makes landfall in the United States on Wednesday. It is the 27th named storm of an unusually active Atlantic hurricane season.']",Atlantic Hurricane Season Dynamics
63,62_republicans_democrats_party_republican,"['republicans', 'democrats', 'party', 'republican', 'gop', 'midterm', 'conservatives', 'liberals', 'conservative', 'control']","['Republicans have alienated the general public and their allies in the business world. In the next election, will onetime Republicans stray?', 'Some seats will change party control, but a landslide midterm election is hardly certain, particularly if Democrats can change their tune and energize their base.', 'The party is not as united as it was four years ago, but Democrats are finding common purpose in denying Republicans control of the White House and Congress next year.']",U.S. Political Party Dynamics and Midterm Elections
64,63_parenting_friends_parents_child,"['parenting', 'friends', 'parents', 'child', 'children', 'parent', 'your', 'son', 'kids', 'mother']","['If you are raising a child on your own, is the grass always greener on the married side? And if you share parenting with a partner, do you sometimes wish it was only you?.', 'If you are raising a child on your own, is the grass always greener on the married side? And if you share parenting with a partner, do you sometimes wish it was only you?.', 'What do you make of parenting advice from people who aren’t parents?']",Parenting Perspectives and Challenges
65,64_puzzle_solving_berry_us,"['puzzle', 'solving', 'berry', 'us', 'saturday', 'patrick', 'sessa', 'lynn', 'lempel', 'nediger']","['Eric Bornstein’s debut puzzle puts us all in a state.', 'Matthew Stock brings us an all-star puzzle.', 'Patrick Berry offers a tough but fair Friday puzzle.']",New York Times Crossword Puzzles
66,65_hotels_hotel_travelers_rooms,"['hotels', 'hotel', 'travelers', 'rooms', 'spa', 'room', 'table', 'resort', 'guests', 'sitting']","['Shares of Orient-Express Hotels surged in trading on Thursday after the hotel arm of the Tata conglomerate of India made an offer for the rest of the company that it does not already own.', ""Hotels designed for a good night's rest."", ""Hotels designed for a good night's rest.""]",Hospitality and Accommodations Industry
67,66_reserve_federal_rates_fed,"['reserve', 'federal', 'rates', 'fed', 'chairman', 'bernanke', 'inflation', 'ben', 'jerome', 'powell']","['It is crucial that the Federal Reserve keep interest rates low as long as inflation is in check.', 'The Federal Reserve chairman, Ben S. Bernanke, indicated that the bank would take steps to try to fight unemployment and low inflation.', 'The Federal Reserve chairman, Ben S. Bernanke, indicated that the bank would take steps to try to fight unemployment and low inflation.']",Federal Reserve Interest Rate Policies
68,67_supreme_court_justice_kavanaugh,"['supreme', 'court', 'justice', 'kavanaugh', 'justices', 'brett', 'courts', 'judge', 'judicial', 'conservative']","['As they try to block his nomination to the Supreme Court, Senate Democrats have exaggerated Judge Brett M. Kavanaugh’s hostility to the Affordable Care Act in his public statements and writings. ', 'The Supreme Court’s rejection of a restrictive Louisiana abortion law, and Justice Brett M. Kavanaugh’s dissent, may create new challenges for Susan Collins and other Republican senators up for re-election.', 'The meeting about the deputy attorney general’s future was rescheduled as the president monitored testimony about his Supreme Court nominee, Judge Brett M. Kavanaugh.']",Brett Kavanaugh's Supreme Court Tenure
69,68_greece_debt_euro_european,"['greece', 'debt', 'euro', 'european', 'bailout', 'greek', 'euros', 'greeces', 'creditors', 'crisis']","['European lenders must give Greece some slack in repaying its debt to prevent the dangerous possibility of a default and a crisis in the euro system.', ""Greece's debt crisis is the biggest credibility test the euro zone has faced since the single currency was created."", 'The European debt crisis, and its spread from Greece to other countries in the euro zone like Portugal, Spain and Italy, was a focus of the two-day talks.']",Greek Debt Crisis and the Eurozone Stability
70,69_science_scientists_memories_brain,"['science', 'scientists', 'memories', 'brain', 'mind', 'physicist', 'prize', 'mourning', 'researcher', 'my']","['What memories come to mind when you think of them?', 'Dr. David sought to make science more relevant and accessible to presidents and to the public, saying, “We can’t leave science and technology to the experts.”', 'Will the March for Science help or hurt scientists and scientific evidence?']",The Impact of Science on Memory and Public Perception
71,70_hackers_security_computer_hacking,"['hackers', 'security', 'computer', 'hacking', 'hacked', 'government', 'snowden', 'edward', 'phone', 'cybersecurity']","['Hackers compromised computers in two Canadian government departments in early January, cutting access to the Internet for weeks.', 'The hackers started their attack in January but escalated their efforts in recent weeks, security experts say. Business and government agencies were affected.', 'The hackers started their attack in January but escalated their efforts in recent weeks, security experts say. Business and government agencies were affected.']",Cybersecurity Breaches and Government Hacking Incidents
72,71_end_heres_know_need,"['end', 'heres', 'know', 'need', 'day', 'you', 'what', 'at', 'to', 'of']","['Here’s what you need to know at the end of the day.', 'Here’s what you need to know at the end of the day.', 'Here’s what you need to know at the end of the day.']",Daily News Summary
73,72_women_men_gender_female,"['women', 'men', 'gender', 'female', 'pay', 'jobs', 'boards', 'all', 'companies', 'advocate']","['Why women won’t have it all until men do, too.', 'Women have learned to become more like men. Now men need to learn to become more like women.', 'Women have learned to become more like men. Now men need to learn to become more like women.']",Gender Equality in the Workplace
74,73_djokovic_federer_nadal_novak,"['djokovic', 'federer', 'nadal', 'novak', 'roger', 'rafael', 'open', 'slam', 'singles', 'grand']","['Juan Martín del Potro stunned Rafael Nadal in straight sets and will face Roger Federer, who beat Novak Djokovic.', 'Isner reached the quarterfinals of Wimbledon for the first time in his career. Roger Federer, Rafael Nadal and Novak Djokovic also advanced.', 'Isner reached the quarterfinals of Wimbledon for the first time in his career. Roger Federer, Rafael Nadal and Novak Djokovic also advanced.']",Big Four of Men's Tennis
75,74_jury_trial_prosecutors_charges,"['jury', 'trial', 'prosecutors', 'charges', 'evidence', 'case', 'judge', 'jurors', 'witness', 'lawyers']","['After a week and a half of testimony and closing arguments, the case went to the jury on Monday.', 'After a week and a half of testimony and closing arguments, the case went to the jury on Monday.', 'After the jury could not come to verdict after six days of deliberations, the judge in the sexual assault trial declared a mistrial.']",Criminal Jury Trials and Legal Proceedings
76,75_academy_awards_oscar_best,"['academy', 'awards', 'oscar', 'best', 'film', 'oscars', 'award', 'nominations', 'golden', 'nominated']","['Who were the big winners in Sunday night’s Oscar Awards?', '6 Q’s About the News | What films were the big winners at the Academy Awards?', '6 Q’s About the News | What films were the big winners at the Academy Awards?']",75th Academy Awards Best Picture Winners
77,76_actress_she_her_role,"['actress', 'she', 'her', 'role', 'hollywood', 'ms', 'film', 'play', 'show', 'plays']","['The actress, nominated for a Bafta as best actress for her role in “Arrival,” has been a knockout in Tom Ford’s designs this red carpet season.', 'The actress, nominated for a Bafta as best actress for her role in “Arrival,” has been a knockout in Tom Ford’s designs this red carpet season.', 'The 47-year-old French actress on the role that won her the Best Actress Prize at Cannes last year.']",Influential Female Hollywood Actresses
78,77_abortion_abortions_pregnancy_contraception,"['abortion', 'abortions', 'pregnancy', 'contraception', 'women', 'parenthood', 'religious', 'clinics', 'pregnant', 'coverage']","['What will access to abortion look like under the new conservative majority?', 'When getting an abortion is even harder than the decision to have one.', 'When getting an abortion is even harder than the decision to have one.']",Reproductive Rights and Family Planning
79,78_stores_retailers_retailer_shoppers,"['stores', 'retailers', 'retailer', 'shoppers', 'shopping', 'online', 'sales', 'macys', 'chains', 'retail']","['As Macy’s, Nordstrom and other large department stores have reported declining sales numbers, they have continued to push discounts in order to compete with off-price chains and online retailers.', 'Retailers are using apps to try to lure shoppers away from the Internet and back to stores, Stephanie Clifford and Claire Cain Miller report on Friday in The New York Times. As bait, retailers are using technological tools that will make shopping on the busiest day of the year a little more sane.', 'Retailers are using apps to try to lure shoppers away from the Internet and back to stores, Stephanie Clifford and Claire Cain Miller report on Friday in The New York Times. As bait, retailers are using technological tools that will make shopping on the busiest day of the year a little more sane.']",Retail Industry Challenges and Strategies
80,79_veterans_war_military_soldiers,"['veterans', 'war', 'military', 'soldiers', 'veteran', 'soldier', 'combat', 'army', 'iraq', 'marine']","['A call to readers for photographs and recollections of United States’ military veterans and their service. A selection will be published on Veterans’ Day, Nov. 11, 2013.', 'A call to readers for photographs and recollections of United States’ military veterans and their service. A selection will be published on Veterans’ Day, Nov. 11, 2013.', 'Veterans Day campaigns have become more creative and heartfelt to show support for veterans, as well as the troops in Afghanistan and Iraq.']",Honoring Military Veterans and Their Service
81,80_samesex_marriage_gay_couples,"['samesex', 'marriage', 'gay', 'couples', 'dont', 'supreme', 'ask', 'court', 'rights', 'tell']","['A challenge to the federal Defense of Marriage Act, which defines marriage as being between a man and a woman, was heard in federal court.', 'Despite rulings declaring bans on same-sex marriage unconstitutional in their states, some state legislators have introduced bills that would prohibit the issuing of marriage licenses to gay couples.', 'Despite rulings declaring bans on same-sex marriage unconstitutional in their states, some state legislators have introduced bills that would prohibit the issuing of marriage licenses to gay couples.']",Same-Sex Marriage Legal Challenges
82,81_clinton_hillary_rodham_mrs,"['clinton', 'hillary', 'rodham', 'mrs', 'clintons', 'her', 'campaign', 'she', 'secretary', 'democratic']","['Ms. Shaheen, the popular Democrat from New Hampshire and the first woman to be elected senator and governor in the state, will publicly endorse Hillary Rodham Clinton next Saturday, Mrs. Clinton’s campaign said.', 'Cheryl D. Mills, an close adviser to Hillary Rodham Clinton, won’t be playing a formal role in Mrs. Clinton’s soon-to-be-announced presidential bid.', 'Cheryl D. Mills, an close adviser to Hillary Rodham Clinton, won’t be playing a formal role in Mrs. Clinton’s soon-to-be-announced presidential bid.']",Hillary Rodham Clinton's Political Career
83,82_photos_photographs_syria_afghanistan,"['photos', 'photographs', 'syria', 'afghanistan', 'india', 'yemen', 'libya', 'egypt', 'from', 'iraq']","['Photos from Afghanistan, India, Germany and Yemen.', 'Photos from Afghanistan, India, Germany and Yemen.', 'Photos from Syria, Germany, China and India.']",Conflict Zone Photography Collection
84,83_prices_housing_market_homes,"['prices', 'housing', 'market', 'homes', 'estate', 'home', 'real', 'buyers', 'demand', 'property']","['Housing prices have increased steeply with the global economic downturn barely making a dent in prices for newly developed housing.', 'It’s a sign are that home prices are starting to align with local factors like job growth and housing policy, which is how the market should work.', 'It’s a sign are that home prices are starting to align with local factors like job growth and housing policy, which is how the market should work.']",Real Estate Market Trends
85,84_inmates_prison_prisons_prisoners,"['inmates', 'prison', 'prisons', 'prisoners', 'confinement', 'death', 'inmate', 'solitary', 'court', 'sentencing']","['Though solitary confinement is banned for young inmates in the city, Mayor de Blasio says some at-risk teenagers must be sent to counties where no ban exists.', 'How do the arts help prison inmates while serving time, and when they are released?', 'How do the arts help prison inmates while serving time, and when they are released?']",Incarceration and Prisoner Welfare
86,85_house_cottage_victorian_home,"['house', 'cottage', 'victorian', 'home', 'bungalow', 'condo', 'twobedroom', 'ranch', 'san', 'revival']","['A 1903 Craftsman house in Little Rock, a 1930 bungalow in Dallas and a 1927 Tudor-style cottage in Minneapolis.', 'A shingled house and guest cottage in Sacramento, a contemporary home outside Charlottesville and a brick townhouse in Indianapolis.', 'A shingled house and guest cottage in Sacramento, a contemporary home outside Charlottesville and a brick townhouse in Indianapolis.']",Types of American Residential Architecture
87,86_comedy_comedian_jokes_comedians,"['comedy', 'comedian', 'jokes', 'comedians', 'monologues', 'laugh', 'humor', 'tv', 'show', 'garfield']","['Jokes from TV comedy show monologues.', 'Jokes from TV comedy show monologues.', 'Jokes from TV comedy show monologues.']",Television Comedy and Stand-Up Humor
88,87_romney_mitt_newt_gingrich,"['romney', 'mitt', 'newt', 'gingrich', 'romneys', 'presidential', 'santorum', 'republican', 'obama', 'campaign']","['Newt Gingrich suggests conservatives need to unite behind a single alternative to Mitt Romney. Namely, him.', 'Rick Santorum said Mitt Romney “can’t close the deal,” and Newt Gingrich called Mr. Romney the Republicans’ weakest front-runner since 1920.', 'Rick Santorum said Mitt Romney “can’t close the deal,” and Newt Gingrich called Mr. Romney the Republicans’ weakest front-runner since 1920.']",2012 Republican Presidential Primaries
89,88_fire_wildfires_firefighters_fires,"['fire', 'wildfires', 'firefighters', 'fires', 'wildfire', 'blaze', 'california', 'acres', 'catastrophic', 'flames']","['The man who oversaw the design of the fire safety system at the cathedral said he was “stunned” at the fire’s speed. Experts said the system included delays that cost firefighters critical minutes.', 'Here’s how to understand what firefighters are saying when they talk about “red flag conditions” fueling the “extreme fire behavior” of a “complex fire.”', 'Here’s how to understand what firefighters are saying when they talk about “red flag conditions” fueling the “extreme fire behavior” of a “complex fire.”']",Wildfire Management and Firefighting Challenges
90,89_monologue_late_night_show,"['monologue', 'late', 'night', 'show', 'letterman', 'aired', 'tonight', 'nbc', 'latenight', 'jimmy']","['Let the Leno-Letterman jousting resume. Jay Leno’s return to “The Tonight Show” on Monday was watched by about 6.6 million viewers, according to overnight Nielsen ratings, up about 25 percent from his average viewership in the first quarter of last year. David Letterman’s “Late Show” on CBS was watched by 3.8 million, about average for his program. “The Tonight Show” was the No. 1 late-night offering when Mr. Leno, right, handed it over to Conan O’Brien last spring. In the months that followed, the “Late Show” routinely beat Mr. O’Brien’s “Tonight” in total viewers. In January, after NBC canceled Mr. Leno’s 10 p.m. talk show and announced a plan to move him back to 11:35 p.m., Mr. O’Brien left the network. Mr. Leno’s “Tonight Show” return was heavily promoted during the Winter Olympics on NBC last month, but once the initial interest fades the real competition will begin, as NBC and CBS find out whether “The Tonight Show” can return to the No. 1 spot among total viewers \x97 as if a certain redheaded comedian had never been there.', 'An article on Friday about changes in the late-night schedule at NBC misstated part of the name of the show on CBS that competes with “The Tonight Show” on NBC. It is “Late Show With David Letterman,” not “Late Night With David Letterman.” (That was the name of his show on NBC.).', 'An article on Friday about changes in the late-night schedule at NBC misstated part of the name of the show on CBS that competes with “The Tonight Show” on NBC. It is “Late Show With David Letterman,” not “Late Night With David Letterman.” (That was the name of his show on NBC.).']",Late Night Talk Show Ratings and Competition
91,90_mayor_bloomberg_michael_city,"['mayor', 'bloomberg', 'michael', 'city', 'bloombergs', 'citys', 'mayoral', 'york', 'mayors', 'william']","['Readers criticize Mayor Michael R. Bloomberg’s plan for Midtown Manhattan.', 'Donald Trump called Michael Bloomberg, a former mayor of New York, a friend and said he would “love the competition” in the presidential race.', 'Mayor Michael R. Bloomberg of New York said he would draw on his resources to push for change.']",Michael Bloomberg's Mayoral Tenure in New York City
92,91_coop_lease_rent_renters,"['coop', 'lease', 'rent', 'renters', 'tenant', 'tenants', 'landlords', 'apartment', 'eviction', 'board']","['Tenant groups cite illegal harassment and a growing threat to affordable housing, while landlords say buying out longtime tenants in low-rent apartments is lawful.', 'The lease on my rent-stabilized apartment ends on March 31. I plan to move out in a couple of months and do not want to sign the lease renewal. If I don’t sign it, will I automatically become a month-to-month tenant at the new rent?', 'The lease on my rent-stabilized apartment ends on March 31. I plan to move out in a couple of months and do not want to sign the lease renewal. If I don’t sign it, will I automatically become a month-to-month tenant at the new rent?']",Residential Leasing and Tenant Rights
93,92_died_coronavirus_covid19_she,"['died', 'coronavirus', 'covid19', 'she', 'her', 'complications', 'he', 'known', 'singer', 'novel']","['From April 10 to May 10, a dozen Felician sisters at the Presentation of the Blessed Virgin Mary convent died of Covid-19. In June, a 13th sister died after contracting the coronavirus.', 'She was an important force behind his success, and he called her practically every day, no matter where he was in the world. She died of Covid-19.', 'She was attending classes at the University of North Texas when she caught the coronavirus, her mother said. She died of complications of the virus.']",Impact of COVID-19 on Women's Lives and Deaths
94,93_opera_metropolitan_operas_tenor,"['opera', 'metropolitan', 'operas', 'tenor', 'production', 'mozarts', 'soprano', 'macbeth', 'classic', 'productions']","['In this Puccini work at the Metropolitan Opera, Ms. Martínez, a soprano, performed a bit of theatrical magic.', 'A touch of drama at the Metropolitan Opera.', 'A touch of drama at the Metropolitan Opera.']",Metropolitan Opera Tenor Performances and Productions
95,94_hedge_fund_funds_stake,"['hedge', 'fund', 'funds', 'stake', 'partners', 'billion', 'agreed', 'management', 'investors', 'takeover']","['An article last Sunday in the Mutual Funds Report, Part 2 of this section, about hedge fund strategies in mutual funds referred incorrectly to the hedge fund partnerships of Broadmark Asset Management. While the firm converted one such partnership into the Broadmark/Forward Tactical Growth mutual fund, it still has others.', 'An article last Sunday in the Mutual Funds Report, Part 2 of this section, about hedge fund strategies in mutual funds referred incorrectly to the hedge fund partnerships of Broadmark Asset Management. While the firm converted one such partnership into the Broadmark/Forward Tactical Growth mutual fund, it still has others.', 'The former head of trading at credit fund manager Credaris has teamed up London hedge fund manager Matrix Group to launch a new $100 million hedge fund that will focus on European corporate debt, credit derivatives and asset-backed securities.']",Hedge Fund Investment Strategies and Partnerships
96,95_care_health_affordable_repeal,"['care', 'health', 'affordable', 'repeal', 'act', 'bill', 'democrats', 'republicans', 'house', 'republican']","['How would the proposed legislation change the Affordable Care Act?', 'Why did House Republican leaders pull their proposed legislation to repeal the Affordable Care Act?', 'A transformation of the delivery of health care may be an enduring legacy for the president, even as Republicans plan to repeal the Affordable Care Act.']",Affordable Care Act Repeal Efforts
97,96_data_privacy_information_personal,"['data', 'privacy', 'information', 'personal', 'delete', 'internet', 'companies', 'encryption', 'consumers', 'breach']","['At its heart, privacy is about how data is used to take away our control.', 'A new California privacy law gives consumers the right to see and delete their data. But getting access often requires giving up more personal details.', 'A new California privacy law gives consumers the right to see and delete their data. But getting access often requires giving up more personal details.']",Personal Data Privacy and Protection
98,97_luther_civil_martin_king,"['luther', 'civil', 'martin', 'king', 'rev', 'jr', 'war', 'dr', 'selma', 'freedom']","['Was Lyndon B. Johnson a civil rights mastermind, or a reluctant follower pulled along by activists led by the Rev. Dr. Martin Luther King Jr.?', 'On April 4, 1968, the Rev. Dr. Martin Luther King Jr., 39, was shot to death in Memphis.', 'On April 4, 1968, the Rev. Dr. Martin Luther King Jr., 39, was shot to death in Memphis.']",Martin Luther King Jr. and the Civil Rights Movement
99,98_marathon_runners_marathons_running,"['marathon', 'runners', 'marathons', 'running', 'runner', 'run', 'training', 'jogging', 'race', 'york']","['Kawauchi, the Boston Marathon winner, is known as Citizen Runner and combines racing with a government job. He is about to compete in his ninth marathon of the year. Most top runners do two.', 'A roundup of running news for runners and marathon fans.', 'A roundup of running news for runners and marathon fans.']",Marathon Running and Training
100,99_derby_belmont_horse_preakness,"['derby', 'belmont', 'horse', 'preakness', 'kentucky', 'stakes', 'triple', 'crown', 'trainer', 'horses']","['Rachel Alexandra, the first filly in 84 years to win the Preakness, galloped a mile over a fast track for her trainer, Steve Asmussen, at Churchill Downs Wednesday morning. It was her first trip to the track since holding off the Kentucky Derby winner Mine That Bird in the second leg or the Triple Crown last Saturday.', 'Chrome, who won the Kentucky Derby and the Preakness Stakes, is the 3-5 morning-line favorite for Saturday’s race at Belmont Park.', 'Chrome, who won the Kentucky Derby and the Preakness Stakes, is the 3-5 morning-line favorite for Saturday’s race at Belmont Park.']",Triple Crown of Thoroughbred Racing
101,100_tariffs_trade_steel_aluminum,"['tariffs', 'trade', 'steel', 'aluminum', 'trump', 'president', 'exports', 'european', 'american', 'transpacific']","['President Trump must decide whether to go ahead with tariffs on allies like the European Union, Canada and Mexico, whose temporary exemptions to the tariffs expire Friday.', 'The president tweeted on Monday that tariffs of steel and aluminum could be removed from Canada and Mexico if a fair Nafta is signed, while Paul D. Ryan bashed the tariffs.', 'The president tweeted on Monday that tariffs of steel and aluminum could be removed from Canada and Mexico if a fair Nafta is signed, while Paul D. Ryan bashed the tariffs.']",Trump Administration's Steel and Aluminum Tariffs and Trade Policy
102,101_ballots_voting_election_vote,"['ballots', 'voting', 'election', 'vote', 'turnout', 'voters', 'ballot', 'cast', 'mail', 'balloting']","['Election officials in North Carolina, where both the presidential race and one of the most critical Senate contests in the country have remained too close to call, said on Friday that about 31,000 eligible mail ballots had arrived since Election Day.', 'Pennsylvania’s top election on Wednesday urged voters who have not yet mailed back their absentee ballots to deliver them to a drop box or county election office rather than rely on the Postal Service, as a court fight over ballot deadlines looms.', 'Pennsylvania’s top election on Wednesday urged voters who have not yet mailed back their absentee ballots to deliver them to a drop box or county election office rather than rely on the Postal Service, as a court fight over ballot deadlines looms.']",Election Voting Processes and Ballot Submission
103,102_quotation_2021_day_2020,"['quotation', '2021', 'day', '2020', '2022', 'january', 'saturday', 'monday', 'september', 'february']","['Quotation of the Day for Friday, May 7, 2021.', 'Quotation of the Day for Saturday, January 9, 2021.', 'Quotation of the Day for Saturday, May 8, 2021.']",Daily Quotations of 2021
104,103_million_estimated_weekend_theaters,"['million', 'estimated', 'weekend', 'theaters', 'north', 'hollywoodcom', 'movie', 'sold', 'ticket', 'starring']","['The Disney movie sold $80.3 million worth of tickets at North American theaters over the weekend.', 'The horror film, which cost $3 million to make, took in an estimated $36.4 million at North American movie theaters over the weekend.', 'The horror film, which cost $3 million to make, took in an estimated $36.4 million at North American movie theaters over the weekend.']",North American Weekend Box Office Revenue
105,104_williams_serena_venus_open,"['williams', 'serena', 'venus', 'open', 'wimbledon', '63', 'her', 'round', 'slam', 'tennis']","['The last time there was a repeat in the women’s final at the Open was in 2001, when Serena Williams defeated her sister Venus.', 'Serena Williams lost in straight sets to Angelique Kerber, dropping her first match since May, while her sister Venus advanced to the semifinals at the Western & Southern Open.', 'This is the third Grand Slam final for Serena Williams since she gave birth to her daughter. She lost the first two — can she win Saturday at Wimbledon?']",Williams Sisters in Tennis Tournaments
106,105_prison_sentenced_sentence_jail,"['prison', 'sentenced', 'sentence', 'jail', 'years', 'convicted', 'ordered', 'was', 'months', 'murder']","['John F. Haggerty Jr., a political consultant convicted of stealing campaign funds from Mayor Michael R. Bloomberg, admitted his guilt and was sentenced to one and a third to four years in prison.', 'Anthony D. Marshall was sentenced to one to three years in prison for defrauding his mother.', 'The men were each sentenced to at least 25 years in prison after they were convicted of planning to blow up an apartment complex.']",Criminal Sentencing and Incarceration
107,106_lottery_connecticut_numbers_jersey,"['lottery', 'connecticut', 'numbers', 'jersey', 'york', 'new', 'winning', 'for', 'numbersfor', '2012']","['Lottery numbers for New York, New Jersey and Connecticut.', 'Lottery numbers for New York, New Jersey and Connecticut.', 'Lottery numbers for New York, New Jersey and Connecticut.']",Tri-State Area Lottery Winning Numbers
108,107_she_her_husband_he,"['she', 'her', 'husband', 'he', 'jasperse', 'wife', 'product', 'is', 'affairs', 'shes']","['She works at an executive recruiting firm, and he is an investment analyst.', 'Because of an editing error, the Advertising column on Tuesday, about online series created specifically for certain advertisers, referred incorrectly to the profession of Candace Bushnell, who is involved in one such series. She is a writer, not an actor. The column also misspelled part of the name of a product that sponsors one such series. It is Marie Callender’s, not Callendar’s.', 'Because of an editing error, the Advertising column on Tuesday, about online series created specifically for certain advertisers, referred incorrectly to the profession of Candace Bushnell, who is involved in one such series. She is a writer, not an actor. The column also misspelled part of the name of a product that sponsors one such series. It is Marie Callender’s, not Callendar’s.']",Professional Couples and Sponsored Content
109,108_residential_sales_region_recent,"['residential', 'sales', 'region', 'recent', 'city', 'york', 'newsroom', 'clip', 'emailed', 'daily']","['Recent residential sales in New York City and the region.', 'Recent residential sales in New York City and the region.', 'Recent residential sales in New York City and the region.']",Recent Residential Sales in New York City Region
110,109_exercise_sleep_depression_your,"['exercise', 'sleep', 'depression', 'your', 'studies', 'activity', 'fitness', 'can', 'tracker', 'texting']","['You don’t need a smartwatch or an activity tracker to monitor your exercise, nutrition and other health information.', 'A growing body of research suggests that the foods you eat can affect how well you sleep, and your sleep patterns can affect your dietary choices.', 'A growing body of research suggests that the foods you eat can affect how well you sleep, and your sleep patterns can affect your dietary choices.']","The Interrelationship Between Exercise, Sleep, and Depression in Personal Health Management"
