,Name,Representation,Representative_Docs,Better_Names
78,77_birthday_happy_th_retweet,"['birthday', 'happy', 'th', 'retweet', 'wishes', 'my', 'friend', 'bday', 'wish', 'today']","['happy st birthday to the thank you', 'happy birthday to my friend', 'happy birthday to our great united states']",Birthday Greetings and Celebrations
79,78_she_endorsement_complete_total,"['she', 'endorsement', 'complete', 'total', 'congresswoman', 'vets', 'strong', 'amendment', 'congress', 'second']","['we need back in congress to fight for the incredible people of georgia she is a tremendous advocate for our military vets border security and the second amendment karen has my complete and total endorsement ga', 'she will be a great senator and has my complete and total endorsement', 'martha is strong on crime and borders the nd amendment and loves our military and vets she has my complete and total endorsement']",Political Endorsements by Influential Figures
80,79_cruz_ted_lyin_liar,"['cruz', 'ted', 'lyin', 'liar', 'lies', 'tricks', 'gay', 'he', 'bible', 'marriage']","['endorsements for lyin ted cruz', 'i agree with marco rubio that ted cruz is a liar', 'crazy supposedly had lyin ted cruz on her show last night ted is desperate and his lying is getting worse ted can t win']",Ted Cruz Controversies and Allegations
81,80_negotiation_art_deal_tip,"['negotiation', 'art', 'deal', 'tip', 'desperate', 'seem', 'negotiations', 'possibly', 'persuasion', 'leverage']","['remember the worst thing you can do in a negotiation is seem desperate to make the deal', 'negotiation tip the worst thing you can possibly do in a deal is seem desperate to make it', 'negotiation tip the worst thing you can possibly do in a deal is seem desperate to make it']",Essential Tips for Successful Negotiation in Art Deals
82,81_nfl_anthem_players_flag,"['nfl', 'anthem', 'players', 'flag', 'football', 'disrespect', 'national', 'kneeling', 'stand', 'games']","['the nfl has decided that it will not force players to stand for the playing of our national anthem total disrespect for our great country', 'two dozen nfl players continue to kneel during the national anthem showing total disrespect to our flag amp country no leadership in nfl', 'very important that nfl players stand tomorrow and always for the playing of our national anthem respect our flag and our country']",NFL National Anthem Protests
83,82_estate_real_buy_buyer,"['estate', 'real', 'buy', 'buyer', 'market', 'property', 'housing', 'residential', 'still', 'properties']","['the residential real estate market continues to provide opportunities for first time home owners buy now if you can', 'the real estate market is slowly improving still a great time to buy you will thank me in years', 'real estate']",Residential Real Estate Buying Guide
84,83_great_excellent_okay_good,"['great', 'excellent', 'okay', 'good', 'that', '', '', '', '', '']","['great', 'great', 'great']",Levels of Quality and Satisfaction
85,84_conference_press_white_house,"['conference', 'press', 'white', 'house', 'eastern', 'news', 'at', 'having', 'today', 'minutes']","['i will be having a white house press conference today at p m thank you', 'i will be having a white house press conference today at p m thank you', 'i will be having a white house press conference today at p m thank you']",White House Press Conference Announcement
86,85_fame_wwehof_wwe_hall,"['fame', 'wwehof', 'wwe', 'hall', 'vince', 'inducted', 'wrestlemania', 'vincemcmahon', 'mcmahon', 'into']","['in today s all new trumpvlog i discuss what a great honor it was to be inducted into the wwe hall of fame', 'via trump to be inducted into wwe hall of fame', 'via donald trump to be inducted into wwe hall of fame']",WWE Hall of Fame Induction
87,86_luck_good_thanks_hi,"['luck', 'good', 'thanks', 'hi', 'and', 'gilberto', 'brian', 'dpal', 'sven', 'andrea']","['good luck', 'good luck', 'good luck']",Greetings and Well-Wishes Among Friends
88,87_father_family_mother_dad,"['father', 'family', 'mother', 'dad', 'son', 'your', 'proud', 'happy', 'mom', 'wonderful']","['tbt for all who have been asking my mother was a great beauty and a wonderful person here we are with my father', 'happy father s day to all i had a wonderful and loving father', 'your family and dad are great your mother must have been amazing']",Family Appreciation and Memories
89,88_putin_russia_obama_vladimir,"['putin', 'russia', 'obama', 'vladimir', 'madness', 'respect', 'lunch', 'russian', 'has', 'president']","['i don t know putin have no deals in russia and the haters are going crazy yet obama can make a deal with iran in terror no problem', 'because of president obama s failed leadership we have put vladimir putin amp russia back on the world stage no reason for this', 'bluestarwindow putin knows that obama is a danger to the world putin will respect president trump true']",U.S.-Russia Relations and Perceptions During Obama's Presidency
90,89_drug_prices_prescription_pharma,"['drug', 'prices', 'prescription', 'pharma', 'opioid', 'price', 'drugs', 'lower', 'favored', 'ads']","['chuck we will get lower drug prices done thanks', 'big announcement today drug companies have to come clean about their prices in tv ads historic transparency for american patients is here if drug companies are ashamed of those prices lower them', 'drug prices will soon be lowered massively big pharma drug companies are advertising against me like crazy because lower prices mean less profit when you watch a fake ad just think lower drug prices']",Pharmaceutical Pricing and Prescription Drug Cost Transparency
91,90_bills_buffalo_buy_team,"['bills', 'buffalo', 'buy', 'team', 'owner', 'billsmafia', 'buying', 'would', 'nflcommish', 'league']","['the city of buffalo is struggling moving the would be catastrophic the bills belong in buffalo', 'rwill buying the bills would be the best thing for not only the team but for the city of buffalo', 'david bossie keep the bills in buffalo can save them would be a great nfl owner']",Potential Purchase of the Buffalo Bills NFL Team
92,91_nice_words_keep_thanks,"['nice', 'words', 'keep', 'thanks', 'thank', 'work', 'job', 'you', 'up', 'kind']","['keep up the great work thank you', 'thank you keep up the great work', 'thank you and keep up the great work']",Appreciative Encouragement
93,92_african_black_unemployment_lowest,"['african', 'black', 'unemployment', 'lowest', 'americans', 'community', 'american', 'history', 'reform', 'hispanic']","['so true wayne and lowest black unemployment in history', 'unemployment for black americans is the lowest ever recorded trump approval ratings with black americans has doubled thank you and it will get even much better', 'so if african american unemployment is now at the lowest number in history median income the highest and you then add all of the other things i have done how do democrats who have done nothing for african americans but talk win the black vote and it will only get better']",Record Low Unemployment Rates Among African American and Hispanic Communities
94,93_rod_yankees_contract_drugs,"['rod', 'yankees', 'contract', 'drugs', 'druggie', 'he', 'him', 'doping', 'his', 'player']","['via donald trump would fire a rod', 'now there is talk of a rod being shipped to if a rod is not a next year the fans will be happy', 'via donald trump is not a rod fan']",Alex Rodriguez's Controversial Career with the New York Yankees
95,94_role_model_inspiration_thanks,"['role', 'model', 'inspiration', 'thanks', 'thank', 'you', 'inspirational', 'inspire', 'my', 'success']","['grtblankenship is definitely the best personality i follow on twitter inspiration and role model all together', 'koos congrats on all your success you are a great role model thanks', 'dialad you are my role model i want to be like you in my own original way inspiration thanks']",Gratitude for Inspirational Role Models
96,95_france_meetings_meeting_summit,"['france', 'meetings', 'meeting', 'summit', 'biarritz', 'leaders', 'with', 'macron', 'argentina', 'nations']","['france and president have done a really great job thus far with a very important g lunch with emmanuel was the best meeting we have yet had likewise evening meeting with world leaders went very well progress being made', 'just wrapped up a great meeting with my friend prime minister of india at the g summit in biarritz france', 'very productive meeting with angela merkel the chancellor of the federal republic of germany at the g summit in biarritz france']","G7 Summit in Biarritz, France"
97,96_york_ny_new_movement,"['york', 'ny', 'new', 'movement', 'state', 'unify', 'city', 'nyc', 'vote', 'government']","['thank you new york i love you makeamericagreatagain trump', 'thank you new york trump', 'thank you new york makeamericagreatagain trump']",New York Support for Trump Movement
98,97_signing_crippled_book_copies,"['signing', 'crippled', 'book', 'copies', 'signed', 'timetogettough', 'yours', 'copy', 'tower', 'streaming']","['i am signing copies of my book crippled america order yours now makes a great holiday gift', 'i am signing copies of my book crippled america order yours now makes a great holiday gift', 'i am signing copies of my book crippled america makes a great holiday gift order yours now']","Donald Trump's ""Crippled America"" Book Signing Event"
99,98_transit_bus_area_funds,"['transit', 'bus', 'area', 'funds', 'funding', 'improvements', 'service', 'infrastructure', 'airport', 'federal']","['i am proud to announce that will receive b in cares act funding to assist in their continued operations and to keep people moving in the ny nj area the largest single federal transit grant to new jersey transit ever together we will prevail', 'i am proud to announce the san francisco bay area will receive over m in federal funds to support continued operations and support workers at intl airport and for transit on amp this money will aid in economic recovery', 'big improvements in rural bus service will be on their way to michigan i am awarding m in federal funding through to improve bus service statewide so important for transit in this great state']",Federal Funding for Transit Infrastructure Improvements
100,99_brady_tom_quarterback_kraft,"['brady', 'tom', 'quarterback', 'kraft', 'belichick', 'comeback', 'patriots', 'nfl', 'coach', 'bob']","['good luck to bob kraft tom brady and coach bill belichick tonight', 'congratulations to tom brady on yet another great victory tom is my friend and a total winner', 'congratulations to tom brady he is a great quarterback and a great champion']",Tom Brady and the New England Patriots
101,100_interview_enjoyed_great_interviews,"['interview', 'enjoyed', 'great', 'interviews', 'discussing', 'mccarver', 'thanks', 'tim', 'herschel', 'fantastic']","['my interview with discussing the new season of all star', 'great interview eric', 'thank you and great interview']",Memorable Interviews with Sports Personalities
102,101_unemployment_rate_jobs_lowest,"['unemployment', 'rate', 'jobs', 'lowest', 'labor', 'numbers', 'participation', 'july', 'force', 'number']","['the new unemployment numbers are terrible more people are out of the labor force to', 'the unemployment rate remains at a year low of the unemployment rate in manufacturing dropped to the lowest ever recorded the unemployment rate among hispanics dropped to the lowest ever recorded secretaryacosta', 'just out unemployment is the lowest number since']",Record Low Unemployment Rates and Job Market Trends
103,102_derek_jeter_mariano_baseball,"['derek', 'jeter', 'mariano', 'baseball', 'rivera', 'yankee', 'player', 'captain', 'pitcher', 'apartment']","['derek jeter wants to rent an apartment derek only in a trump building trump is lucky for you', 'derek jeter s baseball and more in today s trumpvlog', 'congratulations to derek jeter on being named to']",Derek Jeter and Mariano Rivera: New York Yankees Baseball Legends
104,103_mini_mike_bloomberg_steyer,"['mini', 'mike', 'bloomberg', 'steyer', 'debate', 'he', 'tom', 'his', 'him', 'money']","['mini mike you re easy', 'the real winner last night was donald trump mini mike bloomberg i agree', 'a very bad night for mini mike']",Michael Bloomberg's Performance in the Democratic Debates
105,104_georgia_signature_verification_signatures,"['georgia', 'signature', 'verification', 'signatures', 'fulton', 'governor', 'ballots', 'state', 'secretary', 'decree']","['i will easily amp quickly win georgia if governor or the secretary of state permit a simple signature verification has not been done and will show large scale discrepancies why are these two republicans saying no if we win georgia everything else falls in place', 'the republican governor of georgia and the secretary of state must immediately allow a signature verification match on the presidential election if that happens we quickly and easily win the state and importantly pave the way for a big david and kelly win', 'governor and his puppet together with the secretary of state of georgia are very slow on signature verification and won t allow fulton county to be examined what are these rinos hiding we will easily win presidential state race and']",Georgia Election Signature Verification Controversy
106,105_college_records_applications_release,"['college', 'records', 'applications', 'release', 'transcripts', 'obama', 'birth', 'his', 'application', 'returns']","['why did give his tax returns without demanding that obama release his college records amp applications in return', 'mittromney must ask for obama s college records amp applications why is he not doing this', 'my interview discussing how should release his college applications amp records']",Obama's College Records and Application Disclosure Debate
107,106_daca_deal_democrats_want,"['daca', 'deal', 'democrats', 'want', 'dems', 'court', 'republicans', 'recipients', 'they', 'wall']","['congress get ready to do your job daca', 'ruling amp request of yesterday i have wanted to take care of daca recipients better than the do nothing democrats but for two years they refused to negotiate they have abandoned daca based on the decision the dems can t make daca citizens they gained nothing', 'the democrats do not want to help daca would be so easy to make a deal']",DACA Negotiations and Democratic Party's Stance
108,107_art_deal_read_book,"['art', 'deal', 'read', 'book', 'books', 'start', 'reading', 'of', 'since', 'business']","['the art of the deal is a good start', 'the art of the deal is a good start', 'art of the deal']",The Art of the Deal Book
109,108_she_gabriela_her_isler,"['she', 'gabriela', 'her', 'isler', 'beautiful', 'olivia', 'wonderful', 'maria', 'woman', 'missy']","['she was great', 'she was great', 'she was great']",Gabriela Isler Miss Universe
110,109_emails_deleted_hillary_clinton,"['emails', 'deleted', 'hillary', 'clinton', 'mails', 'email', 'crooked', 'acid', 'she', 'huma']","['asking hillary clinton why she deleted and acid washed her emails after getting a subpoena from congress anybody else would be in jail for that yet the dems refuse to even bring it up rigged house committee', 'what has happened here with the anthony wiener laptop the server all of the emails between huma abedin and hillary clinton the deleted clinton emails what is going on joe d amp victoria t', 'hillary clinton deleted emails with her email server technician']",Hillary Clinton Email Controversy
111,110_ford_plant_motors_jobs,"['ford', 'plant', 'motors', 'jobs', 'michigan', 'mexico', 'general', 'plants', 'billion', 'auto']","['big announcement by ford today major investment to be made in three michigan plants car companies coming back to u s jobs jobs jobs', 'general motors must immediately open their stupidly abandoned lordstown plant in ohio or some other plant and start making ventilators now ford get going on ventilators fast', 'ford said last week that it will expand in michigan and u s instead of building a billion dollar plant in mexico thank you ford amp fiat c']",Ford's Investment in U.S. Manufacturing and Job Creation
112,111_song_mac_miller_donald,"['song', 'mac', 'miller', 'donald', 'hits', 'macmiller', 'million', 'trump', 'platinum', 'rapper']","['tylerthekicker donald trump by mac miller will forever be a great song many agree', 'wow little mac miller has almost million views on his song donald trump keep pushing mac and come up with another hit just do it', 'tylerthekicker donald trump by mac miller will forever be a great song']",Donald Trump Song by Mac Miller
113,112_ukraine_ukrainian_quid_quo,"['ukraine', 'ukrainian', 'quid', 'quo', 'pressure', 'said', 'pro', 'president', 'call', 'pressured']","['again the president of the ukraine said there was no zero pressure put on him by me end of case', 'any laws or did anything wrong and they have to move away from quid pro quo because there was no quid and there was no quo ukraine got it s money weeks early and there was no investigation', 'ex envoy testified ukraine or the president of ukraine never raised quid pro quo concerns with him source the president of ukraine also stated that he was not pressured by me in any way end of case']",Ukraine Quid Pro Quo Allegations
114,113_mccain_john_vets_veterans,"['mccain', 'john', 'vets', 'veterans', 'va', 'he', 'gave', 'supported', 'pow', 'lost']","['stevemarz but mccain is not a hero mccain abandoned pow mccain lies', 'via donald trump john mccain is a loser', 'statement on john mccain']",John McCain's Military Service and Veterans Affairs Advocacy
115,114_jury_judge_guilty_trial,"['jury', 'judge', 'guilty', 'trial', 'oscar', 'foreperson', 'lawyer', 'jodi', 'pistorious', 'charges']","['judge jackson now has a request for a new trial based on the unambiguous amp self outed bias of the foreperson of the jury whose also a lawyer by the way madam foreperson your a lawyer you have a duty an affirmative obligation to reveal to us when we selected you the', 'judge jackson now has a request for a new trial based on the unambiguous amp self outed bias of the foreperson of the jury whose also a lawyer by the way madam foreperson you re a lawyer you have a duty an affirmative obligation to reveal to us when we selected you the', 'judge jackson now has a request for a new trial based on the unambiguous amp self outed bias of the foreperson of the jury whose also a lawyer by the way madam foreperson you re a lawyer you have a duty an affirmative obligation to reveal to us when we selected you the']",Legal Trial Procedures and Jury Selection Bias
116,115_birthday_happy_sarina_bernice,"['birthday', 'happy', 'sarina', 'bernice', 'glenda', 'rgb', 'levi', 'adele', 'leah', 'shane']","['happy birthday', 'happy birthday', 'happy birthday']",Group Birthday Celebration Greetings
117,116_makeamericagreatagain_makeamericasafeagain_madeinamerica_gopdebate,"['makeamericagreatagain', 'makeamericasafeagain', 'madeinamerica', 'gopdebate', 'buyamericanhireamerican', 'lawandorder', 'imwithyou', 'nyprimary', 'imwithyoutranscript', 'deacon']","['makeamericagreatagain', 'makeamericagreatagain', 'makeamericagreatagain']",Donald Trump's Campaign Slogans and GOP Debates
118,117_post_old_office_dc,"['post', 'old', 'office', 'dc', 'hotel', 'building', 'washington', 'hotels', 'avenue', 'pavilion']","['press conference at the old post office in d c', 'we look forward to making the old post office in dc one of the great hotels of the world', 'at the old post office']","Old Post Office Building in Washington, D.C."
119,118_fbi_fisa_dossier_doj,"['fbi', 'fisa', 'dossier', 'doj', 'court', 'documents', 'campaign', 'department', 'comey', 'funded']","['report there were no fisa hearings held over spy documents it is astonishing that the fisa courts couldn t hold hearings on spy warrants targeting donald trump it isn t about carter page it s about the trump campaign you ve got corruption at the doj amp fbi the leadership', 'so if comey amp the top people in the fbi were dirty cops and cheated on the fisa court wouldn t all of these phony cases have to be overturned or dismissed they went after me with the fake dossier paid for by crooked hillary amp the dnc which they illegally presented to fisa', 'the four page memo released friday reports the disturbing fact about how the fbi and fisa appear to have been used to influence the election and its aftermath the fbi failed to inform the fisa court that the clinton campaign had funded the dossier the fbi became']",FBI FISA Warrant Controversy and Dossier Funding
120,119_egypt_brotherhood_muslim_mubarak,"['egypt', 'brotherhood', 'muslim', 'mubarak', 'ally', 'arab', 'abandoned', 'spring', 'sudan', 'aid']","['why are we still giving billions of dollars we don t have in foreign aid to the muslim brotherhood in egypt', 'our new allies in egypt the muslim brotherhood have close relations with iran we never should have abandoned mubarak', 'great we are sending even more f s to the muslim brotherhood in egypt this is a total disaster']",Egypt's Muslim Brotherhood and the Mubarak Era
121,120_bankrupt_bankruptcy_went_filed,"['bankrupt', 'bankruptcy', 'went', 'filed', 'kravis', 'icahn', 'buffett', 'never', 'laws', 'paulson']","['i never went bankrupt', 'i never went bankrupt', 'i never went bankrupt']",Prominent Investors and Their Avoidance of Bankruptcy
122,121_star_season_th_returns,"['star', 'season', 'th', 'returns', 'all', 'fans', 'upcoming', 'popular', 'demand', 'features']","['the record th season of all star features the return of the beautiful the fans love her', 'back by popular demand the fabulous returns to the record setting th season of all star the fans love him', 'back by popular demand the record th season of all star features the return of our fans will be happy']",All-Star Season Returns
123,122_maga_kag_news_dow,"['maga', 'kag', 'news', 'dow', 'gonna', 'jussiesmollett', 'jointsession', 'tayloredwards', 'tm', 'voteearlyday']","['great news maga', 'maga', 'maga']",MAGA Movement and Political News Update
124,123_interview_trump_mr_gardner,"['interview', 'trump', 'mr', 'gardner', 'donald', 'watching', 'you', 'chris', 'radio', 'great']","['more incredible interview on the show please please run for president', 'texasarmymom ready for your interview on kellyfile enjoyed and watched every interview of yours for presidential', 'manakoa donaldtrump you are fearless this interview shows you are the leader we need is a tough interview respect to both']",Donald Trump Interview with Chris Gardner
125,124_makeamericagreatagain_thank_support_you,"['makeamericagreatagain', 'thank', 'support', 'you', 'america', 'trump', 'your', 'zulu', 'comatosejeb', 'allgoodeggs']","['thank you america makeamericagreatagain trump', 'thank you trump makeamericagreatagain', 'thank you makeamericagreatagain trump']",Trump's Make America Great Again Slogan Appreciation
126,125_schneiderman_eric_lightweight_ag,"['schneiderman', 'eric', 'lightweight', 'ag', 'contributions', 'suit', 'attorney', 'foundation', 'shakedown', 'case']","['lightweight a g eric schneiderman is perhaps the most incompetent and least respected a g in the u s he is a total joke', 'must read editorial today about lightweight new york state attorney general eric schneiderman is he a crook', 'why is lightweight a g eric schneiderman allowed to ask for campaign contributions from my people during settlement negotiations']",Eric Schneiderman Controversies as New York Attorney General
127,126_agree_disagree_agreed_cool,"['agree', 'disagree', 'agreed', 'cool', 'retrospect', 'thebutteryone', 'dustindemoss', 'lrt', 'wholeheartedly', 'realliamager']","['i agree', 'i agree', 'i agree']",Consensus and Approval Expressions
128,127_omarosa_kenya_celebapprentice_she,"['omarosa', 'kenya', 'celebapprentice', 'she', 'moore', 'bret', 'fired', 'kdanielsk', 'boardroom', 'kinda']","['re omarosa nasty tough or smart or all', 'thank you for the kind words omarosa', 'antoknee omarosa of this season kenya']",Omarosa's Appearance on Celebrity Apprentice
129,128_haters_losers_hate_follow,"['haters', 'losers', 'hate', 'follow', 'him', 'why', 'don', 'you', 'ignore', 'love']","['jamesmattiske the haters are just jelous because they are not successful like you the haters are losers with no guts', 'utkarsh chheda damn a lot of haters follow u haters and losers', 'christuhglo i love how you handle the haters you mean the haters and losers']",Dealing with Haters and Negative Followers Online
130,129_prime_minister_welcome_poland,"['prime', 'minister', 'welcome', 'poland', 'honor', 'boris', 'italy', 'kingdom', 'duda', 'italian']","['thank you mr prime minister a great honor', 'welcome to the prime minister', 'it s my great honor to welcome prime minister back to the']",Prime Minister's Diplomatic Visit to Poland
131,130_joan_rivers_apprentice_she,"['joan', 'rivers', 'apprentice', 'she', 'funeral', 'woman', 'luv', 'celebrity', 'her', 'janie']","['via joan rivers last work for will run on two shows next season says donald trump', 'joan rivers on the apprentice tonight at i will be live tweeting joan was great', 'joan rivers get well soon joan keep fighting']",Joan Rivers' Appearance on The Apprentice
132,131_puerto_rico_hurricanes_juan,"['puerto', 'rico', 'hurricanes', 'juan', 'hurricane', 'san', 'dollars', 'island', 'relief', 'governor']","['my administration governor and many others are working together to help the people of puerto rico in every way', 'and by the way i m the best thing that s ever happened to puerto rico', 'wow yet another big storm heading to puerto rico will it ever end congress approved billion dollars for puerto rico last year an all time record of its kind for anywhere']",Hurricane Relief Efforts in Puerto Rico
133,132_maga_thank_you_maine,"['maga', 'thank', 'you', 'maine', 'rena', 'toya', 'trumpwon', 'boaters', 'working', 'chaffetz']","['thank you maga', 'thank you maga', 'thank you maga']",MAGA Appreciation in Maine
134,133_tea_party_convention_sc,"['tea', 'party', 'convention', 'sc', 'myrtle', 'via', 'beach', 'donald', 'address', 'irs']","['donald trump to headline sc tea party convention via', 'tea', 'trump at tea party via']",South Carolina Tea Party Convention Featuring Donald Trump
135,134_elizabeth_warren_pocahontas_goofy,"['elizabeth', 'warren', 'pocahontas', 'goofy', 'native', 'referred', 'her', 'she', 'sometimes', 'bernie']","['i find it offensive that goofy elizabeth warren sometimes referred to as pocahontas pretended to be native american to get in harvard', 'goofy elizabeth warren sometimes referred to as pocahontas because she faked the fact she is native american is a lowlife', 'goofy elizabeth warren sometimes referred to as pocahontas pretended to be a native american in order to advance her career very racist']",Controversies Surrounding Elizabeth Warren's Native American Ancestry Claims
136,135_magazine_newsweek_rolling_cover,"['magazine', 'newsweek', 'rolling', 'cover', 'dead', 'stone', 'boring', 'dying', 'nymag', 'sad']","['the time magazine list of the most influential people is a joke and stunt of a magazine that will like newsweek soon be dead bad list', 'really bad article about me in the dying or dead esquire magazine totally false lots of hatred when will this boring magazine close', 'dying magazine']",Decline of Print Magazines
137,136_twitter_trending_section_conservative,"['twitter', 'trending', 'section', 'conservative', 'voices', 'facebook', 'banned', 'conservatives', 'social', 'tech']","['twitter makes sure that trending on twitter is anything bad fake or not about president donald trump so obvious what they are doing being studied now', 'why isn t biden corruption trending number one on twitter biggest world story and nowhere to be found there is no trend only negative stories that twitter wants to put up disgraceful section', 'it s never a real twitter trending it s twitter executive s choice only negative on republican voices especially mine']",Bias in Twitter's Trending Topics Against Conservatives
138,137_charity_obama_offer_fundraisers,"['charity', 'obama', 'offer', 'fundraisers', 'barack', 'charitable', 'donations', 'fundraising', 'his', 'dime']","['rt if you think pres obama should release his records to get m for charity for red cross or another great charity', 'i m not hearing much from obama or his administration about my m offer to charity or to which charity the money will go', 'i m not hearing much from obama or his administration about my m offer to charity or to which charity the money will go']",Obama's Charitable Fundraising Offers
139,138_louisiana_edwards_bel_governor,"['louisiana', 'edwards', 'bel', 'governor', 'john', 'runoff', 'insurance', 'republican', 'eddie', 'taxes']","['big rally in louisiana on friday night must force a runoff with a liberal democrat governor john bel edwards who has let your taxes and car insurance get too high and will never protect your nd amendment vote for one of our two great republicans on saturday force a runoff', 'rt just landed in louisiana vote against john bel edwards he has the worst jobs record in the united states louisiana', 'the governor of louisiana john bel edwards has done a poor job now he is in a runoff with a great republican thank you louisiana down to after i explained what a bad job the governor was doing']",John Bel Edwards' Louisiana Governorship and Runoff Election
140,139_nato_pay_germany_europe,"['nato', 'pay', 'germany', 'europe', 'countries', 'share', 'fair', 'european', 'billions', 'commitment']","['what good is nato if germany is paying russia billions of dollars for gas and energy why are there only out of countries that have met their commitment the u s is paying for europe s protection then loses billions on trade must pay of gdp immediately not by', 'what good is nato if germany is paying russia billions of dollars for gas and energy why are their only out of countries that have met their commitment the u s is paying for europe s protection then loses billions on trade must pay of gdp immediately not by', 'thank you nato']",NATO Financial Contributions and Germany's Energy Payments to Russia
141,140_hispanic_hispanics_latinos_community,"['hispanic', 'hispanics', 'latinos', 'community', 'americans', 'latino', 'african', 'trump', 'american', 'univision']","['great call with thousands of our hispanic community business and faith leaders today during this national trial we have been uplifted by the grit determination prayers and patriotism of hispanic americans', 'i m a former chief of police in a border town i m hispanic i m proud to be hispanic and i m behind trump', 'for years sleepy joe biden betrayed hispanic americans now he wants to close your small businesses eliminate school choice and attack our hispanic law enforcement heroes i will always stand with the incredible hispanic american community']",Hispanic American Community and Political Engagement
142,141_self_lobbyists_funding_campaign,"['self', 'lobbyists', 'funding', 'campaign', 'interests', 'am', 'donors', 'special', 'controlled', 'lobbyist']","['i am self funding my campaign so i do not owe anything to lobbyists amp special interests', 'remember i am self funding my campaign the only one in either party i m not controlled by lobbyists or special interests only the u s a', 'by self funding my campaign i am not controlled by my donors special interests or lobbyists i am only working for the people of the u s']",Self-Funded Political Campaigns and Lobbyist Influence
143,142_penalty_boston_killer_death,"['penalty', 'boston', 'killer', 'death', 'trial', 'trials', 'fast', 'colorado', 'peterson', 'punishment']","['didn t the boston killer even run over his own brother with a car in order to get away we are not dealing with an innocent baby here death', 'if they die fast trial death penalty for the killer only way to stop this', 'get all the info then quick trial then death penalty for the boston killer of innocent children and people do not be kind']",Boston Marathon Bomber Death Penalty Trial
144,143_welfare_food_stamps_stamp,"['welfare', 'food', 'stamps', 'stamp', 'median', 'poverty', 'timetogettough', 'household', 'income', 'individuals']","['under out of every americans is on food stamps', 'no surprise welfare spending is up over under obama he is the food stamp amp welfare king', 'obama our welfare amp food stamp president is praising himself for expanding welfare he doesn t believe in work']",Food Stamp Program and Welfare Policy in the Obama Era
145,144_ads_ad_commercials_commercial,"['ads', 'ad', 'commercials', 'commercial', 'false', 'advertising', 'misleading', 'spending', 'ineffective', 'negative']","['weak amp ineffective is doing ads where he shows his statement in the debate but not my response false advertising', 'another false ad by the do nothing democrats almost all of their ads are false or misleading and the fake news loves it', 'weak amp ineffective is doing ads where he shows his statement in the debate but not my response false advertising']",Misleading and Ineffective Advertising Practices
146,145_thanks_do_will_ellie,"['thanks', 'do', 'will', 'ellie', 'elginet', 'try', 'posted', 'won', 'no', 'll']","['thanks i do and will', 'thanks will do', 'will do thanks']",Expressions of Gratitude and Commitment
147,146_yes_chained_no_totally,"['yes', 'chained', 'no', 'totally', 'pretty', 'seems', 'sir', 'absolutely', 'way', 'really']","['yes', 'yes', 'yes']",Affirmation and Certainty Expressions
148,147_kasich_ohio_john_ads,"['kasich', 'ohio', 'john', 'ads', 'gov', 'nafta', 'negative', 'tpp', 'him', 'he']","['carlyfiorina carly not just you i also told gov kasich to let jeb talk give him a chance because kasich was constantly cutting in', 'john kasich despite being governor of ohio is losing to me in the ohio polls pathetic', 'absentee governor kasich voted for nafta and nafta devastated ohio a disaster from which it never recovered kasich is good for mexico']",John Kasich's Political Career and Controversies in Ohio
149,148_pence_mike_kaine_hamilton,"['pence', 'mike', 'kaine', 'hamilton', 'vpdebate', 'vp', 'theater', 'knights', 'governor', 'certify']","['mike pence won big we should all be proud of mike', 'mike pence was fantastic tonight will be a great v p', 'mike pence won big']",Mike Pence's Vice Presidential Debate Performance
150,149_rove_karl_loser_spent,"['rove', 'karl', 'loser', 'spent', 'total', 'why', 'race', 'predictions', 'karlrove', 'didn']","['karl rove s ads are the worst in political history', 'why does bill o reilly keep putting karl rove on his show a total waste of time rove spent and didn t win a race pathetic', 'donald trump karl rove is a total loser so why are people still giving him money via']",Karl Rove's Political Campaign Failures
151,150_vote_register_mail_ballot,"['vote', 'register', 'mail', 'ballot', 'early', 'registration', 'voting', 'absentee', 'counted', 'voter']","['new mexico today is the last day you can register to vote online or via mail make sure your vote counts', 'early voting and vote by mail start today in arizona cast your vote early in person or request your vote by mail ballot right now we want all eligible voters to vote and have it counted request your vote by mail ballot by clicking below vote', 'register to vote before monday register now on then request your absentee ballot before do it today and return your ballot the same day you get it if you aren t planning to vote by mail vote early in person or vote on election day']",Mail-In and Absentee Voting Registration
152,151_sexual_military_rape_airlines,"['sexual', 'military', 'rape', 'airlines', 'abuse', 'lga', 'airports', 'assault', 'plane', 'forces']","['sexual assault and rape in the armed forces is a massive problem that nobody wants to talk about or do anything about the big dark secret', 'general says that the armed forces will be severely weakened if the large scale rape and sexual abuse problem is not brought under control', 'head of air force s anti sexual assault unit arrested for sexual assault it just seems that our country is not what it used to be']",Sexual Assault in the Military and Aviation Industries
153,152_danny_dannyzuker_zuker_bet,"['danny', 'dannyzuker', 'zuker', 'bet', 'modern', 'loser', 'camera', 'family', 're', 'gutless']","['tigergal not very presidential dannyzuker danny you re a total loser perhaps but true', 'dannyzuker i have to be honest i think i m starting not to like the guy actually danny you would like me very much', 'dannyzuker danny you re a total loser']",Danny Zuker Twitter Feud with Donald Trump
